3D VISION Game Ready ,Boost Clock ,Brand ,CUDA Cores ,Card Dimensions (L x H) ,Chipset Manufacturer ,Cooler ,Core Clock ,DVI ,Date First Available ,DirectX ,DisplayPort ,Dual-Link DVI Supported ,Edition ,Effective Memory Clock ,Features ,Form Factor ,GPU ,GPU Series ,HDCP Ready ,HDMI ,Interface ,Max GPU Length ,Max Resolution ,Memory Interface ,Memory Size ,Memory Type ,Model ,Multi-Monitor Support ,OpenGL ,Operating Systems Supported ,Option ,Other Ports ,Package Contents ,Power Connector ,SLI Support ,Series ,Slot Width ,System Requirements ,Thermal Design Power ,Virtual Reality Ready ,review_numbers
,['1785 MHz'],['MSI'],['2560'],"['10.16"" x 5.00""']",['NVIDIA'],['Double Fans'],['1605 MHz'],,"['October 28, 2020']",['DirectX 12'],['3 x DisplayPort 1.4'],,,['14 Gpbs'],"['TORX Fan 2.0Dispersion fan blade: Steep curved blade accelerating the airflow.Traditional fan blade: Provides steady airflow to massive heat sink below.Afterburner Overclocking UtilityOC Scanner: An automated function finds the highest stable overclock settings.Kombustor: The latest DirectX versions benchmark supporting.Predator: In-game video recording.NVIDIA G-SYNC and HDRGet smooth, tear-free gameplay at refresh rates up to 240 Hz, plus HDR, and more. This is the ultimate gaming display and the go-to equipment for enthusiast gamers.GeForce RTX VRBy combining advanced VR rendering, real-time ray tracing, and AI, GeForce RTX will take VR to a new level of realism.']",,['GeForce RTX 2070 SUPER'],,['2.2'],['1 x HDMI 2.0b'],['PCI Express 3.0 x16'],['258 mm'],['7680 x 4320'],['256-Bit'],['8GB'],['GDDR6'],['RTX 2070 SUPER VENTUS GP OC'],['4'],['OpenGL 4.5'],,,,,['1 x 8-pin and 1 x 6-pin'],"['NVIDIA NVLINK (SLI-Ready), 2-way']",,,['Recommended PSU: 650W'],['235W'],['Yes'],16 (81% Positive)
,['1800 MHz'],['EVGA'],['2560'],"['10.46"" x 4.38""']",['NVIDIA'],['Hybrid Cooler'],,,"['July 12, 2020']",['DirectX 12'],['3 x DisplayPort 1.4'],,,['14000 MHz'],"['NVIDIA AnselHybrid ""All-in-One"" WatercoolerReal-Time Ray TracingNVIDIA GeForce ExperienceNVIDIA HighlightsNVIDIA G-SYNC CompatibleGame Ready DriversMicrosoft DirectX 12 API, Vulkan API, OpenGL 4.5NVIDIA GPU BoostBuilt for EVGA Precision X1Designed for USB Type-C and VirtualLink']",,['GeForce RTX 2070 SUPER'],,['2.2'],['1 x HDMI 2.0b'],['PCI Express 3.0'],['266 mm'],['7680 x 4320'],['256-Bit'],['8GB'],['GDDR6'],['08G-P4-3178-KR'],['4'],['OpenGL 4.5'],"['Windows 10 64-bit, Windows 7 64-bit']",,['1 x Type-C VirtualLink'],,['6-Pin / 8-Pin'],['2-Way SLI'],,['Dual Slot'],"['650W or greater power supply.PCI Express, PCI Express 2.0 or PCI Express 3.0 compliant motherboard with one graphics slot.']",['215W'],['Yes'],(38)
,,['GIGABYTE'],['2304'],"['10.43"" x 4.75""']",['NVIDIA'],['WINDFORCE 2X'],['1620 MHz'],,"['October 28, 2020']",['DirectX 12'],['3 x DisplayPort 1.4'],,,['14000 MHz'],['Powered by GeForce RTX 2070Integrated with 8GB GDDR6 256-bit memory interfaceWINDFORCE 2X Cooling System with alternate spinning fans100mm unique blade fansProtection Back Plate'],['ATX'],['GeForce RTX 2070'],['NVIDIA GeForce RTX 20 Series'],,['1 x HDMI 2.0b'],['PCI Express 3.0 x16'],['265 mm'],['7680 x 4320 @ 60 Hz'],['256-Bit'],['8GB'],['GDDR6'],['GV-N2070WF2-8GD'],['4'],['OpenGL 4.5'],,,,['Accessories:Quick guideDriver CD'],['8-Pin'],['No'],,['Dual Slot'],['Recommended PSU: 550W'],['120W'],['Yes'],247 (72% Positive)
,['1620 MHz'],['MSI'],['2304'],"['11.61"" x 5.51""']",['NVIDIA'],['Double Fans'],['1410 MHz'],,"['October 27, 2020']",['DirectX 12'],['3 x DisplayPort 1.4'],,,['14 Gbps'],"['Armor Thermal DesignTORX Fan 2.0 with Double Ball Bearings- Dispersion fan blade: Steep curved blade accelerating the airflow- Traditional fan blade: Provides steady airflow to massive heat sink belowMastery of Aerodynamics: The heatsink is optimized for efficient heat dissipation, keeping your temperatures low and performance highZero Frozr technology: Stopping the fan in low-load situations, keeping a noise-free environmentRGB Mystic LightCustomize colors and LED effects with exclusive MSI software and synchronize the look & feel with other components']",,['GeForce RTX 2070'],['NVIDIA GeForce RTX 20 Series'],['2.2'],['1 x HDMI 2.0b'],['PCI Express 3.0 x16'],['295 mm'],['7680 x 4320'],['256-Bit'],['8GB'],['GDDR6'],['RTX 2070 ARMOR 8G'],['4'],['OpenGL 4.5'],,,['1 x USB Type-C'],,"['1 x 8-pin, 1 x 6-pin']",,,,['Recommended PSU: 550W'],['175W'],['Yes'],247 (72% Positive)
,['OC Mode: 1845 MHzGaming Mode (Default): 1815 MHz'],['ASUS'],['2304'],"['11.83"" x 5.14""']",['NVIDIA'],['Triple Fans'],['1410 MHz'],,"['July 06, 2020']",['DirectX 12'],['2 x DisplayPort 1.4'],,,['14000 MHz'],"[""NVIDIA TURING: ROG GeForce RTX graphics cards are powered by the Turing GPU architecture and the all-new RTX platform. This gives you up to 6X the performance of previous-generation graphics cards and brings the power of real-time ray tracing and AI to games.DirectX 12: Power new visual effects and rendering techniques for more lifelike gaming.NVIDIA Shadowplay Record and share high-quality gameplay videos, screenshots, and livestreams with your friends.Unique Wing-blade Fans deliver high air pressure, reduced noise levels, IP5X certified dust resistance, and 0dB mode for silent gaming.MaxContact Technology allows 2X more contact with the GPU chip for improved thermal transfer.Auto-Extreme Technology uses automation to enhance reliability.Super Alloy Power II includes premium alloy chokes, solid polymer capacitors, and an array of high-current power stages to fuel Turing's cores.ASUS FanConnect II equips 2 hybrid-controlled fan headers for optimal system cooling.GPU Tweak II provides intuitive performance tweaking and thermal controls.""]",,['GeForce RTX 2070'],['NVIDIA GeForce RTX 20 Series'],['2.2'],['2 x HDMI 2.0b'],['PCI Express 3.0'],['300 mm'],['7680 x 4320'],['256-Bit'],['8GB'],['GDDR6'],['ROG-STRIX-RTX2070-O8G-GAMING'],['4'],['OpenGL 4.6'],,,['1 x USB Type-C'],['Accessories:1 x Quick Guide1 x CD1 x ROG Velcro Hook & Loop'],"['1 x 6-pin, 1 x 8-pin']",['No'],['ROG Strix'],['2.5-slot'],['Recommended PSU: 550W'],['185W'],['Yes'],0 reviews
,,,,,,,,,"['October 18, 2020']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 reviews
,['1740 MHz'],['MSI'],['2304'],"['12.17"" x 6.10""']",['NVIDIA'],['Double Fans'],['1410 MHz'],,"['October 27, 2020']",['DirectX 12'],['3 x DisplayPort 1.4'],,,['14 Gbps'],"['Armor Thermal DesignTORX Fan 2.0 with Double Ball Bearings- Dispersion fan blade: Steep curved blade accelerating the airflow- Traditional fan blade: Provides steady airflow to massive heat sink belowMastery of Aerodynamics: The heatsink is optimized for efficient heat dissipation, keeping your temperatures low and performance highZero Frozr technology: Stopping the fan in low-load situations, keeping a noise-free environmentRGB Mystic LightCustomize colors and LED effects with exclusive MSI software and synchronize the look & feel with other components']",,['GeForce RTX 2070'],['NVIDIA GeForce RTX 20 Series'],['2.2'],['1 x HDMI 2.0b'],['PCI Express 3.0 x16'],['309 mm'],['7680 x 4320'],['256-Bit'],['8GB'],['GDDR6'],['RTX 2070 ARMOR 8G OC'],['4'],['OpenGL 4.5'],,,['1 x USB Type-C'],,"['1 x 8-pin, 1 x 6-pin']",,,,['Recommended PSU: 550W'],['185W'],['Yes'],247 (72% Positive)
,['OC Mode: 1650 MHzGaming Mode (Default): 1620 MHz'],['ASUS'],['2304'],"['11.83"" x 5.14""']",['NVIDIA'],['Triple Fans'],['1410 MHz'],,"['August 20, 2020']",['DirectX 12'],['2 x DisplayPort 1.4'],,,['14000 MHz'],"[""NVIDIA TURING: ROG GeForce RTX graphics cards are powered by the Turing GPU architecture and the all-new RTX platform. This gives you up to 6X the performance of previous-generation graphics cards and brings the power of real-time ray tracing and AI to games.DirectX 12: Power new visual effects and rendering techniques for more lifelike gaming.NVIDIA Shadowplay Record and share high-quality gameplay videos, screenshots, and livestreams with your friends.Unique Wing-blade Fans deliver high air pressure, reduced noise levels, IP5X certified dust resistance, and 0dB mode for silent gaming.MaxContact Technology allows 2X more contact with the GPU chip for improved thermal transfer.Auto-Extreme Technology uses automation to enhance reliability.Super Alloy Power II includes premium alloy chokes, solid polymer capacitors, and an array of high-current power stages to fuel Turing's cores.ASUS FanConnect II equips 2 hybrid-controlled fan headers for optimal system cooling.GPU Tweak II provides intuitive performance tweaking and thermal controls.""]",,['GeForce RTX 2070'],['NVIDIA GeForce RTX 20 Series'],['2.2'],['2 x HDMI 2.0b'],['PCI Express 3.0'],['300 mm'],['7680 x 4320'],['256-Bit'],['8GB'],['GDDR6'],['ROG-STRIX-RTX2070-8G-GAMING'],['4'],['OpenGL 4.5'],,,['1 x USB Type-C'],['Accessories:1 x CD1 x Quick Guide1 x ROG Velcro Hook & Loop'],"['1 x 6-Pin, 1 x 8-Pin']",['No'],['ROG Strix'],['2.5-slot'],['Recommended PSU: 550W'],['185W'],['Yes'],(40)
,['1710 MHz'],['EVGA'],['2304'],"['10.62"" x 4.38""']",['NVIDIA'],['Double Fans'],,,"['July 20, 2020']",['DirectX 12'],['3 x DisplayPort 1.4'],,,['14000 MHz'],"['NVIDIA AnselAdjustable RGB LEDAll-Metal Backplate, Pre-InstalledReal-Time Ray TracingNVIDIA GeForce ExperienceNVIDIA HighlightsNVIDIA G-SYNC CompatibleGame Ready DriversMicrosoft DirectX 12 API, Vulkan API, OpenGL 4.5NVIDIA GPU BoostBuilt for EVGA Precision X1Designed for USB Type-C and VirtualLink']",,['GeForce RTX 2070'],['NVIDIA GeForce RTX 20 Series'],['2.2'],['1 x HDMI 2.0b'],['PCI Express 3.0'],['270 mm'],['7680 x 4320'],['256-Bit'],['8GB'],['GDDR6'],['08G-P4-2172-KR'],['4'],['OpenGL 4.5'],['Windows 10 64-bitWindows 7 64-bit'],,['1 x USB Type-C'],,"['1 x 6-Pin, 1 x 8-Pin']",['No'],,['Dual Slot'],['Minimum of a 550-Watt power supplyAn available 6-pin PCIe power connector and an available 8 pin PCIe power connector'],['175W'],['Yes'],(73)
,['OC Mode: 1815 MHz Gaming Mode (Default): 1785 MHz'],['ASUS'],['2560'],"['10.50"" x 4.70""']",['NVIDIA'],['Double Fans'],['OC Mode: 1635 MHzGaming Mode (Default): 1605 MHz'],,"['October 28, 2020']",,['3 x DisplayPort 1.4'],,,['14000 MHz'],"['RT Cores: Dedicated ray tracing hardware enables fast real-time ray tracing of objects and environments with physically accurate shadows, reflections, refractions, and global illumination.Concurrent Floating Point and Integer Processing: Turing GPUs more efficiently process the compute heavy workloads of modern games.Ultra-fast GDDR6: Experience up to 496 GB/s of memory bandwidth for high-speed, high-resolution gaming.Axial-tech fan design features a smaller fan hub that facilitates longer blades and a barrier ring that increases downward air pressure.0dB Technology lets you enjoy light gaming in relative silence.2.7-slot Design expands cooling surface area to make the most of the two powerful Axial-tech fans.Auto-Extreme Technology uses automation to enhance reliability.A Protective backplate secures components during transportation and installation.GPU Tweak II provides intuitive performance tweaking, thermal controls, and system monitoring.144-hour Validation Program puts cards through a series of stringent tests to ensure compatibility with the latest games.']",,['GeForce RTX 2070 SUPER'],,['2.2'],['1 x HDMI 2.0b'],['PCI Express 3.0 x16'],['267 mm'],['7680 x 4320'],['256-Bit'],['8GB'],['GDDR6'],['DUAL-RTX2070S-A8G-EVO'],['4'],['OpenGL 4.6'],,,,['Accessories:1 x Quick Guide'],"['1 x 6-pin, 1 x 8-pin']",['SLI Ready'],['Dual'],['2.7 slot'],['Recommended PSU: 650W'],['235W'],['Yes'],883 (79% Positive)
,['1770 MHz'],['EVGA'],['2560'],"['10.62"" x 4.38""']",['NVIDIA'],['Double Fans'],,,"['July 25, 2020']",['DirectX 12'],['3 x DisplayPort 1.4'],,,['14000 MHz'],"['NVIDIA AnselReal-Time Ray TracingNVIDIA GeForce ExperienceNVIDIA HighlightsNVIDIA G-SYNC CompatibleGame Ready DriversMicrosoft DirectX 12 API, Vulkan API, OpenGL 4.5NVIDIA GPU BoostBuilt for EVGA Precision X1Designed for USB Type-C and VirtualLink']",,['GeForce RTX 2070 SUPER'],,['2.2'],['1 x HDMI 2.0b'],['PCI Express 3.0'],['270 mm'],['7680 x 4320'],['256-Bit'],['8GB'],['GDDR6'],['08G-P4-3071-KR'],['4'],['OpenGL 4.5'],"['Windows 10 64-bit, Windows 7 64-bit']",,['1 x USB Type-C VirtualLink'],,['An available 6-pin PCIe power connector and an available 8-pin PCIe power connector'],['2-Way SLI'],,['Dual Slot'],"['650W or greater power supply.PCI Express, PCI Express 2.0 or PCI Express 3.0 compliant motherboard with one graphics slot.']",['215W'],['Yes'],(143)
,['1785 MHz'],['MSI'],['2560'],"['10.12"" x 5.00""']",['NVIDIA'],['Double Fans'],,,"['October 28, 2020']",['DirectX 12'],['3 x DisplayPort 1.4'],,,['14 Gpbs'],"['TORX Fan 2.0:Dispersion fan blade: Steep curved blade accelerating the airflow.Traditional fan blade: Provides steady airflow to massive heat sink below.Afterburner Overclocking Utility:OC Scanner: An automated function finds the highest stable overclock settings.Kombustor: The latest DirectX versions benchmark supporting.Predator: In-game video recording.NVIDIA G-SYNC and HDR:Get smooth, tear-free gameplay at refresh rates up to 240 Hz, plus HDR, and more. This is the ultimate gaming display and the go-to equipment for enthusiast gamers.GeForce RTX VR:By combining advanced VR rendering, real-time ray tracing, and AI, GeForce RTX will take VR to a new level of realism.']",,['GeForce RTX 2070 SUPER'],,['2.2'],['1 x HDMI 2.0b'],['PCI Express 3.0 x16'],['257 mm'],['7680 x 4320'],['256-Bit'],['8GB'],['GDDR6'],['RTX 2070 SUPER VENTUS OC'],['4'],['OpenGL 4.5'],,,,,['1 x 8-pin and 1 x 6-pin'],"['NVIDIA NVLINK (SLI-Ready), 2-way']",,,['Recommended PSU: 650W'],['215W'],['Yes'],16 (81% Positive)
