Boost Clock ,Brand ,CUDA Cores ,Card Dimensions (L x H) ,Chipset Manufacturer ,Cooler ,Core Clock ,Date First Available ,DirectX ,DisplayPort ,Edition ,Effective Memory Clock ,Features ,Form Factor ,GPU ,GPU Series ,HDCP Ready ,HDMI ,Interface ,Max GPU Length ,Max Resolution ,Memory Interface ,Memory Size ,Memory Type ,Model ,Multi-Monitor Support ,OpenGL ,Operating Systems Supported ,Option ,Other Ports ,Package Contents ,Power Connector ,RAMDAC ,SLI Support ,Series ,Slot Width ,System Requirements ,Thermal Design Power ,Thunderbolt 3 ,Virtual Reality Ready ,review_numbers
,['GIGABYTE'],['4352'],"['11.28"" x 4.51""']",['NVIDIA'],['WINDFORCE 3X'],['1665 MHz in OC mode1650 MHz in Gaming mode'],"['October 09, 2020']",['DirectX 12'],['3 x DisplayPort 1.4'],,['14000 MHz'],['Powered by GeForce RTX 2080 TiIntegrated with 11GB GDDR6 352-bit memory interfaceWINDFORCE 3X Cooling System with alternate spinning fansRGB Fusion 2.0 - synchronize with other AORUS devicesMetal Back Plate'],['ATX'],['GeForce RTX 2080 Ti'],['NVIDIA GeForce RTX 20 Series'],,['1 x HDMI 2.0b'],['PCI Express 3.0 x16'],['287 mm'],['7680 x 4320 @ 60 Hz'],['352-Bit'],['11GB'],['GDDR6'],['GV-N208TGAMING OC-11GC'],['4'],['OpenGL 4.6'],,,['1 x USB Type-C (support VirtualLink)'],,['2 x 8-Pin'],,['2-way NVIDIA NVLINK'],,,['Recommended PSU: 650W'],['250W'],,['Yes'],883 (79% Positive)
['1650 MHz'],['EVGA'],['4352'],"['10.62"" x 4.38""']",['NVIDIA'],['Double Fans'],,"['May 27, 2020']",['DirectX 12'],['3 x DisplayPort 1.4'],,['14000 MHz'],"['NVIDIA AnselAdjustable RGB LEDReal-Time Ray TracingNVIDIA GeForce ExperienceNVIDIA HighlightsNVIDIA G-SYNC CompatibleGame Ready DriversDisplayPort 1.4, HDMI 2.0bHDCP 2.2NVIDIA GPU BoostBuilt for EVGA Precision X1Designed for USB Type-C and VirtualLinkMicrosoft DirectX 12 Ultimate, Vulkan, OpenGL 4.6']",,['GeForce RTX 2080 Ti'],['NVIDIA GeForce RTX 20 Series'],['2.2'],['1 x HDMI 2.0b'],['PCI Express 3.0'],['270 mm'],['7680 x 4320'],['352-Bit'],['11GB'],['GDDR6'],['11G-P4-2383-RX'],['4'],['OpenGL 4.6'],"['Windows 10 64-bit, Windows 7 64-bit']",,['1 x USB TYPE-C'],,['2 x 8-Pin'],,['2-Way SLI'],,['2.75 Slots'],"['650-Watt or greater power supply. PCI Express, PCI Express 2.0 or PCI Express 3.0 compliant motherboard with one graphics slot. Two available 8-pin or 6+2-pin PCI-E power dongles.']",['250W'],,['Yes'],"1,250 (88% Positive)"
['OC mode: 1740 MHzGaming mode: 1710 MHz'],['ASUS'],['2944'],"['11.80"" x 5.13""']",['NVIDIA'],['Triple Fans'],['1515 MHz'],"['October 07, 2020']",['DirectX 12'],['2 x DisplayPort 1.4'],,['14000 MHz'],"[""NVIDIA TURING: ROG GeForce RTX graphics cards are powered by the Turing GPU architecture and the all-new RTX platform. This gives you up to 6X the performance of previous-generation graphics cards and brings the power of real-time ray tracing and AI to games.DirectX 12: Power new visual effects and rendering techniques for more lifelike gaming.4K: Step up to the ultimate 4K gaming experience with GeForce RTX and enjoy today's biggest games in amazing detail.Axial-tech Fans feature an all-around better design and IP5X dust resistance.2.7-Slot Design expands cooling surface area by over 20% compared to last gen.MaxContact Technology allows 2X more contact with the GPU chip for improved thermal transfer.Auto-Extreme Technology uses automation to enhance reliability.Super Alloy Power II includes premium alloy chokes, solid polymer capacitors, and an array of high-current power stages to fuel Turing's cores.ASUS FanConnect II equips 2 hybrid-controlled fan headers for optimal system cooling.GPU Tweak II provides intuitive performance tweaking and thermal controls.""]",,['GeForce RTX 2080'],['NVIDIA GeForce RTX 20 Series'],['2.2'],['2 x HDMI 2.0b'],['PCI Express 3.0'],['300 mm'],['7680 x 4320'],['256-Bit'],['8GB'],['GDDR6'],['ROG-STRIX-RTX2080-8G-GAMING'],,['OpenGL 4.5'],,,['1 x USB Type-C'],['Accessories:1 x CD1 x Quick Guide1 x ROG Velcro Hook & Loop'],['2 x 8-Pin'],,['SLI Ready'],['ROG Strix'],['2.7-slot'],,['215W'],,['Yes'],0 reviews
['OC Mode - 1860 MHzGaming Mode - 1830 MHz'],['ASUS'],['3072'],"['10.51"" x 4.65""']",['NVIDIA'],['Double Fans'],,"['October 09, 2020']",,['3 x DisplayPort 1.4'],,['15500 MHz'],"['OC Edition: Boost Clock 1860 MHz (OC Mode) / 1830 MHz (Gaming Mode).RT Cores: Dedicated ray tracing hardware enables fast real-time ray tracing of objects and environments with physically accurate shadows, reflections, refractions, and global illumination.Concurrent floating point and integer processing: Turing GPUs more efficiently process the compute heavy workloads of modern games.Ultra-fast GDDR6: Experience up to 496 GB/s of memory bandwidth for high-speed, high-resolution gaming.Axial-tech fan design features a smaller fan hub that facilitates longer blades and a barrier ring that increases downward air pressure.MaxContact Technology allows 2X more contact with the GPU chip for improved thermal transfer.2.7-slot design expands cooling surface area to make the most of the two powerful Axial-tech fans.Auto-Extreme Technology uses automation to enhance reliability.A protective backplate secures components during transportation and installation.144-hour validation program puts cards through a series of stringent tests to ensure compatibility with the latest games.']",,['GeForce RTX 2080 SUPER'],,['2.2'],['1 x HDMI 2.0b'],['PCI Express 3.0'],['267 mm'],['7680 x 4320'],['256-Bit'],['8GB'],['GDDR6'],['DUAL-RTX2080S-O8G-EVO-V2'],['4'],['OpenGL 4.6'],,,,['Accessories:1 x Quick Guide'],['2 x 8-Pin'],,['SLI Ready'],['Dual'],['2.7-slot'],,['Recommended PSU: 650W'],,,36 (64% Positive)
,['GIGABYTE'],['3072'],"['11.47"" x 6.26""']",['NVIDIA'],['WATERFORCE Water Block'],['1860 MHz'],"['October 10, 2020']",['DirectX 12'],['3 x DisplayPort 1.4'],,['15500 MHz'],['Powered by GeForce RTX 2080 SUPERIntegrated with 8GB GDDR6 256-bit memory interfaceWATERFORCE Water Block cooling system7 Video OutputsRGB Fusion 2.0 - synchronize with other AORUS devicesMetal Back Plate with RGB AORUS LOGO IlluminationBuilt for Extreme Overclocking 12+2 Power Phases'],['ATX'],['GeForce RTX 2080 SUPER'],,,['3 x HDMI 2.0b'],['PCI Express 3.0 x16'],['291 mm'],['7680 x 4320 @ 60 Hz'],['256-Bit'],['8GB'],['GDDR6'],['GV-N208SAORUS WB-8GC'],['4'],['OpenGL 4.5'],,,['1 x USB Type-C (support VirtualLink)'],['Accessories:AORUS metal stickerQuick guideI/O guideDriver CDWater Block installationThermal grease'],['2 x 8-Pin'],,['2-way NVIDIA NVLINK'],['AORUS'],['Dual Slot'],['Recommended Power Supply: 650W'],['250W'],,['Yes'],(8)
,['GIGABYTE'],['3072'],"['10.51"" x 5.39""']",['NVIDIA'],['WATERFORCE Water Block'],['1845 MHz'],"['October 22, 2020']",['DirectX 12'],['3 x DisplayPort 1.4'],,['15500 MHz'],['Powered by GeForce RTX 2080 SUPERIntegrated with 8GB GDDR6 256-bit memory interfaceWATERFORCE Water Block cooling systemRGB Fusion 2.0 - 16.7M color synchronize with other AORUS devicesMetal Back Plate'],['ATX'],['GeForce RTX 2080 SUPER'],,,['1 x HDMI 2.0b'],['PCI Express 3.0 x16'],['267 mm'],['7680 x 4320 @ 60 Hz'],['256-Bit'],['8GB'],['GDDR6'],['GV-N208SGAMINGOC WB-8GD'],['4'],['OpenGL 4.6'],,,,['Accessories:Quick guideDriver CDWater Block installationThermal grease'],"['1 x 8-Pin, 1 x 6-Pin']",,['2-way NVIDIA NVLINK'],,,['Recommended Power Supply: 650W'],['250W'],,['Yes'],16 (81% Positive)
['1830 MHz'],['MSI'],['3072'],"['10.12"" x 5.00""']",['NVIDIA'],['Double Fans'],,"['October 28, 2020']",['DirectX 12'],['3 x DisplayPort 1.4'],,['15.5 Gbps'],"['TORX Fan 2.0Dispersion fan blade: Steep curved blade accelerating the airflow.Traditional fan blade: Provides steady airflow to massive heat sink below.Afterburner Overclocking UtilityOC Scanner: An automated function finds the highest stable overclock settings.Kombustor: The latest DirectX versions benchmark supporting.Predator: In-game video recording.NVIDIA G-SYNC and HDRGet smooth, tear-free gameplay at refresh rates up to 240 Hz, plus HDR, and more. This is the ultimate gaming display and the go-to equipment for enthusiast gamers.GeForce RTX VRBy combining advanced VR rendering, real-time ray tracing, and AI, GeForce RTX will take VR to a new level of realism.']",,['GeForce RTX 2080 SUPER'],,['2.2'],['1 x HDMI 2.0b'],['PCI Express 3.0 x16'],['257 mm'],['7680 x 4320'],['256-Bit'],['8GB'],['GDDR6'],['RTX 2080 Super Ventus XS OC'],['4'],['OpenGL 4.5'],,,,,"['1 x 8-Pin, 1 x 6-pin']",,"['NVIDIA NVLink (SLI-Ready), 2-way']",,,['Recommended PSU: 650W'],['250W'],,['Yes'],247 (72% Positive)
['1845 MHz'],['EVGA'],['3072'],"['10.62"" x 4.38""']",['NVIDIA'],['Double Fans'],,"['October 15, 2020']",['DirectX 12'],['3 x DisplayPort 1.4'],,['15500 MHz'],"['NVIDIA AnselAdjustable RGB LEDAll-Metal Backplate, Pre-InstalledReal-Time Ray TracingNVIDIA GeForce ExperienceNVIDIA HighlightsNVIDIA G-SYNC CompatibleGame Ready DriversMicrosoft DirectX 12 API, Vulkan API, OpenGL 4.5NVIDIA GPU BoostBuilt for EVGA Precision X1Designed for USB Type-C and VirtualLink']",,['GeForce RTX 2080 SUPER'],,['2.2'],['1 x HDMI 2.0b'],['PCI Express 3.0'],['270 mm'],['7680 x 4320'],['256-Bit'],['8GB'],['GDDR6'],['08G-P4-3183-KR'],['4'],['OpenGL 4.5'],"['Windows 10 (64-bit), Windows 7 (64-bit)']",,['1 x USB Type-C VirtualLink'],,['An available 6-pin PCIe power connector and an available 8-pin PCIe power connector'],,['2-Way SLI'],,['2.75 Slots'],"['650W or greater power supply.PCI Express, PCI Express 2.0 or PCI Express 3.0 compliant motherboard with one graphics slot.']",['250W'],,['Yes'],(40)
['1755 MHz'],['EVGA'],['4352'],"['11.89"" x 5.48""']",['NVIDIA'],['Triple Fans'],,"['September 25, 2020']",['DirectX 12'],['3 x DisplayPort 1.4'],,['14000 MHz'],"['NVIDIA AnselAdjustable RGB LEDReal-Time Ray TracingNVIDIA GeForce ExperienceNVIDIA HighlightsNVIDIA G-SYNC CompatibleGame Ready DriversDisplayPort 1.4, HDMI 2.0bDesigned for USB Type-C and VirtualLinkNVIDIA GPU BoostBuilt for EVGA Precision X1Microsoft DirectX 12 Ultimate, Vulkan, OpenGL 4.6Supports NVIDIA NVENC Turing Encoder']",,['GeForce RTX 2080 Ti'],['NVIDIA GeForce RTX 20 Series'],['2.2'],['1 x HDMI 2.0b'],['PCI Express 3.0'],['302 mm'],['7680 x 4320'],['352-Bit'],['11GB'],['GDDR6'],['11G-P4-2487-RX'],['4'],['OpenGL 4.6'],['Windows 10 64-bitWindows 7 64-bit'],,['1 x USB Type-C'],,['2 x 8-Pin'],,['SLI Ready'],,['2.75 Slots'],"['650W or greater power supply.PCI Express, PCI Express 2.0 or PCI Express 3.0 compliant motherboard with one graphics slot.Two available 8-pin or 6+2-pin PCI-E power connectors.']",['250W'],,['Yes'],(2)
,['GIGABYTE'],['4352'],,['NVIDIA'],,['1545 MHz'],"['October 06, 2020']",['DirectX 12'],['3 x DisplayPort'],,['14000 MHz'],"['Powerful GeForce RTX 2080 Ti delivers incredible performance for games, creators and A.IWATERFORCE all-in-one cooling systemThunderbolt 3 plug and playSupports 3 x USB 3.0 for peripheralSupports 1 x Ethernet portSupports Power Delivery (PD 3.0) to charge the laptop PCRGB fusion 2.0 - 16.7M color synchronize with other AORUS devices']",['ATX'],['GeForce RTX 2080 Ti'],['NVIDIA GeForce RTX 20 Series'],,['1 x HDMI'],['PCI Express 3.0 x4'],,['7680 x 4320'],['256-Bit'],['11GB'],['GDDR6'],['GV-N208TIXEB-11GC'],['4'],['OpenGL 4.5'],,,['1 x Ethernet port 3 x USB 3.01 x USB-C (VirtualLink)'],['1 x AORUS RTX 2080 Ti Gaming Box includes GIGABYTE GeForce RTX 2080 Ti 11G graphics card1 x Thunderbolt 3 Cable 500mm (USB Type-C) 1 x Power cord 1 x Installation Guide 1 x Driver CD 1 x Carry bag'],['2 x 8-Pin'],,['2-way NVIDIA NVLINK'],['AORUS'],['Dual Slot'],['Laptop PC/Desktop PC with Thunderbolt 3 port and support external GPUPlease confirm the Thunderbolt 3 compatibility with your PC manufacturerWindows 10'],['300W'],['Yes'],,(8)
['1755 MHz'],['EVGA'],['4352'],"['11.89"" x 5.48""']",['NVIDIA'],['Triple Fans'],,"['September 03, 2020']",['DirectX 12'],['3 x DisplayPort 1.4'],,['14000 MHz'],"['NVIDIA AnselAdjustable RGB LEDReal-Time Ray TracingNVIDIA GeForce ExperienceNVIDIA HighlightsNVIDIA G-SYNC CompatibleGame Ready DriversMicrosoft DirectX 12 API, Vulkan API, OpenGL 4.5NVIDIA GPU BoostBuilt for EVGA Precision X1Designed for USB Type-C and VirtualLink** In preparation for the emerging VirtualLink standard, Turing GPUs have implemented hardware support according to the ""VirtualLink Advance Overview"". To learn more about VirtualLink, please see http://www.virtuallink.org.EVGA iCX2 Technology19 Power Phases']",,['GeForce RTX 2080 Ti'],['NVIDIA GeForce RTX 20 Series'],['2.2'],['1 x HDMI 2.0b'],['PCI Express 3.0'],['302 mm'],['7680 x 4320'],['352-Bit'],['11GB'],['GDDR6'],['11G-P4-2487-KR'],['4'],['OpenGL 4.5'],['Windows 10 64-bitWindows 7 64-bit'],,['1 x USB Type-C'],,['2 x 8-Pin'],,,,['2.75 Slots'],['Minimum of a 650-Watt power supplyTwo available 8-pin or 6+2-pin PCIe power dongles'],['250W'],,['Yes'],(33)
