Boost Clock ,Brand ,CUDA Cores ,Card Dimensions (L x H) ,Chipset Manufacturer ,Cooler ,Core Clock ,CrossFireX Support ,D-SUB ,DVI ,Date First Available ,DirectX ,DisplayPort ,Dual-Link DVI Supported ,Edition ,Effective Memory Clock ,Features ,Form Factor ,GPU ,GPU Series ,HDCP Ready ,HDMI ,Interface ,Low Profile Bracket Included ,Max GPU Length ,Max Resolution ,Memory Interface ,Memory Size ,Memory Type ,Model ,Multi-Monitor Support ,OpenGL ,Operating Systems Supported ,Option ,Package Contents ,Power Connector ,SLI Support ,Series ,Slot Width ,System Requirements ,Thermal Design Power ,Virtual Reality Ready ,review_numbers
['1455 MHz'],['MSI'],['768'],"['6.97"" x 4.65""']",['NVIDIA'],['Single Fan'],['1341 MHz'],,,['1 x DL-DVI-D'],"['October 26, 2020']",['DirectX 12'],['1 x DisplayPort 1.4'],['Yes'],,['7008 MHz'],"['All Solid Capacitors- 10 years long lifetime under full load.- Lower temperature and higher efficiency.- Aluminum core for higher stability.Afterburner Overclocking Utility- Wireless control through Android/iOS devices.- Predator: In-game video recording.- Kombustor: built-in DirectX12 benchmark.NVIDIA G-SYNC- Synchronizes the display refresh to your GeForce GTX GPU for the fast, smooth gaming.']",,['GeForce GTX 1050 Ti'],['NVIDIA GeForce GTX 10 Series'],['2.2'],['1 x HDMI 2.0'],['PCI Express 3.0 x16'],,['177 mm'],['7680 x 4320'],['128-Bit'],['4GB'],['GDDR5'],['GTX 1050 Ti 4G OC'],['3'],['OpenGL 4.5'],,,,,,['131207'],['Dual Slot'],['Power Consumption: 75WRecommended PSU: 300W'],['75W'],['No'],17 (82% Positive)
['1392 MHz'],['PNY'],['768'],"['6.53"" x 4.40""']",['NVIDIA'],['Single Fan'],['1290 MHz'],,,['1 x DL-DVI-D'],"['March 24, 2019']",['DirectX 12'],['1 x DisplayPort 1.4'],['Yes'],,['7 Gbps'],['NVIDIA Pascal  Simultaneous Multi-Projection  NVIDIA Ansel Support  NVIDIA GameWorks  NVIDIA G-SYNC  NVIDIA GameStream  NVIDIA GPU Boost 3.0  Microsoft DirectX 12 Support  Vulkan API Support  OpenGL 4.5 Support  PCI Express 3.0  HDCP 2.2  Display Connectors - DisplayPort 1.4 - HDMI 2.0b - DL-DVI'],,['GeForce GTX 1050 Ti'],['NVIDIA GeForce GTX 10 Series'],['2.2'],['1 x HDMI 2.0b'],['PCI Express 3.0 x16'],,['166 mm'],['7680 x 4320'],['128-Bit'],['4GB'],['GDDR5'],['VCGGTX1050T4PB'],['3'],['OpenGL 4.5'],"['Windows 7-10, Operating System (32 or 64-bit)']",,,,,,['Dual Slot'],['PCI Express-compliant motherboard with one dual-width x16 graphics slot  Minimum 300W or greater system power supply  350MB of available hard-disk space  2GB system memory (4GB or higher recommended)  DVD-ROM drive and Internet connection  TDP: 71W'],['75W'],,0 reviews
['N/A'],['ASUS'],['768'],"['8.00"" x 4.50""']",['NVIDIA'],['Double Fans'],['OC Mode: 1366 MHzGaming Mode (Default): 1341 MHz'],,,['1 x DVI-D'],"['March 12, 2019']",,['1 x DisplayPort 1.4'],,['Black'],['7008 MHz'],"[""Esports Gaming tested with major titles like League of Legends, Overwatch and PlayerUnknown's BattlegroundsStrong backplate support designed to reinforce circuit boardPlug and play design requires no PCIe power connectors for easy graphics upgradeAuto-extreme Manufacturing Technology delivers premium quality and reliability with aerospace-grade Super Alloy Power II components to run faster and last longer than referenceGPU Tweak II makes monitoring performance and streaming easier than ever, featuring Game Booster and XSplit Gamecaster, all via an intuitive interface""]",,['GeForce GTX 1050 Ti'],['NVIDIA GeForce GTX 10 Series'],['2.2'],['1 x HDMI 2.0b'],['PCI Express 3.0'],,['203 mm'],['7680 x 4320'],['128-Bit'],['4GB'],['GDDR5'],['CERBERUS-GTX1050TI-O4G'],,['OpenGL 4.5'],,['GTX 1050 Ti D5 4G'],['Accessories:1 x CD1 x Quick Guide'],,,['Cerberus'],['Dual Slot'],,['75W'],,17 (82% Positive)
,['EVGA'],,,['NVIDIA'],['Single Fan'],,,,['1 x DVI'],"['August 20, 2020']",,['1 x DisplayPort'],,,,,,['GeForce GTX 1050 Ti'],['NVIDIA GeForce GTX 10 Series'],,['1 x HDMI'],['PCI Express 3.0 x16'],['No'],,,,['4GB'],['GDDR5'],['GTX 1050 Ti'],,,,,,,,,,,['75W'],,0 reviews
['1493 MHz (OC) 1468 MHz (Gaming) 1392 MHz (Silent)'],['MSI'],['768'],"['9.02"" x 5.16""']",['NVIDIA'],,['1379 MHz (OC) 1354 MHz (Gaming) 1290 MHz (Silent)'],,,['1 x DL-DVI-D'],"['March 28, 2020']",['DirectX 12'],['1 x DisplayPort 1.4'],['Yes'],,['7108 MHz (OC) 7008 MHz (Gaming / Silent)'],,['ATX'],['GeForce GTX 1050 Ti'],['NVIDIA GeForce GTX 10 Series'],['2.2'],['1 x HDMI 2.0'],['PCI Express 3.0 x16'],,['229 mm'],['7680 x 4320'],['128-Bit'],['4GB'],['GDDR5'],['GTX 1050 Ti GAMING X 4G'],['3'],['OpenGL 4.5'],,,,['6-Pin'],,,['Dual Slot'],['Power Consumption: 75W Recommended PSU: 300W'],['75W'],['No'],0 reviews
['1392 MHz'],['MSI'],['768'],"['7.17"" x 2.72""']",['NVIDIA'],['Double Fans'],['1290 MHz'],,,['1 x DL-DVI-D'],"['December 24, 2019']",['DirectX 12'],['1 x DisplayPort 1.4'],['Yes'],,['7008 MHz'],,['Low Profile'],['GeForce GTX 1050 Ti'],['NVIDIA GeForce GTX 10 Series'],['2.2'],['1 x HDMI 2.0'],['PCI Express 3.0 x16'],,['182 mm'],['7680 x 4320'],['128-Bit'],['4GB'],['GDDR5'],['GTX 1050 TI 4GT LP'],['3'],['OpenGL 4.5'],,,,,,,['Dual Slot'],['Power consumption: 75W Recommended PSU: 300W'],['75W'],['No'],0 reviews
['1455 MHz'],['MSI'],['768'],"['8.46"" x 4.41""']",['NVIDIA'],['Double Fans'],['1341 MHz'],,,['1 x DL-DVI-D'],"['September 09, 2019']",['DirectX 12'],['1 x DisplayPort 1.4'],['Yes'],,['7008 MHz'],,['ATX'],['GeForce GTX 1050 Ti'],['NVIDIA GeForce GTX 10 Series'],['2.2'],['1 x HDMI 2.0'],['PCI Express 3.0 x16'],,['215 mm'],['7680 x 4320'],['128-Bit'],['4GB'],['GDDR5'],['GTX 1050 Ti 4GT OC'],['2'],['OpenGL 4.5'],,,,,,,['Dual Slot'],['Power Consumption: 75W Recommended PSU: 300W'],['75W'],['No'],0 reviews
,['ONDA'],['768'],,['NVIDIA'],['Single Fan'],['1392 MHz'],['No'],['0'],['1 x DVI'],"['June 24, 2020']",['DirectX 12'],,['Yes'],,['7008 MHz'],,['ATX'],['GeForce GTX 1050 Ti'],['NVIDIA GeForce GTX 10 Series'],,['1 x HDMI'],['PCI Express 3.0 x16'],,['195 mm'],['5120 x 3200'],['128-Bit'],['4GB'],['GDDR5'],['1050TI GAMING 4GD5'],['Yes'],['OpenGL 4.5'],,,,,['No'],['1050ti Gaming'],['Dual Slot'],['Recommended PSU: 350W'],['75W'],['No'],883 (79% Positive)
['1455 MHz'],['ZOTAC'],['640'],"['5.70"" x 4.38""']",['NVIDIA'],['Single Fan'],['1354 MHz'],,,['1 x DL-DVI'],"['May 05, 2019']",['DirectX 12'],['1 x DisplayPort 1.4'],['Yes'],,['7 GHz'],"[""Everyone deserves great gaming. That's why we created the fast, powerful ZOTAC GeForce GTX 1050 Mini. Now you can turn your PC into a true gaming rig, powered by NVIDIA Pascal--the most advanced GPU architecture ever created. It's loaded with innovative NVIDIA Game Ready technologies that let every gamer experience the latest titles in their full glory in super compact form.""]",,['GeForce GTX 1050'],['NVIDIA GeForce GTX 10 Series'],['Yes'],['1 x HDMI 2.0b'],['PCI Express 3.0'],,['144.78mm'],['7680 x 4320'],['128-Bit'],['2GB'],['GDDR5'],['ZT-P10500A-10L'],['3'],['OpenGL 4.5'],['Windows 10 / 8 / 7'],,,,['No'],,['Dual Slot'],['Recommended Power Supply: 300W'],['75W'],,167 (83% Positive)
['1455 MHz'],['ASUS'],['768'],"['8.35"" x 4.49""']",['NVIDIA'],['Double Fans'],['1341 MHz'],,,['1 x DVI-D (Native)'],"['October 07, 2020']",['DirectX 12'],['1 x DisplayPort (Native)'],,,['7008 MHz'],"['New NVIDIA Pascal architecture delivers improved performance and power efficiency for fast, smooth gamingClassic and modern games at 1080p @ 60 FPSSupports the latest DirectX 12 and GeForce gaming featuresPlug and play design requires no PCIe power connectors for easy graphics upgradeDual-fan Cooling provides double the airflow with 3x quieter performanceAuto-Extreme Technology delivers premium quality and reliability with aerospace-grade Super Alloy Power II components to run faster and last longer than referenceGPU Tweak II makes monitoring performance and streaming easier than ever, featuring Game Booster and XSplit Gamecaster, all via an intuitive interface']",,['GeForce GTX 1050 Ti'],['NVIDIA GeForce GTX 10 Series'],['Yes'],['1 x HDMI 2.0 (Native)'],['PCI Express 3.0'],,['212 mm'],['7680 x 4320'],['128-Bit'],['4GB'],['GDDR5'],['DUAL-GTX1050TI-O4G'],,['OpenGL 4.5'],,,,,,,['Dual Slot'],,['75W'],,167 (83% Positive)
['1392 MHz'],['ASUS'],['768'],"['7.56"" x 4.37""']",['NVIDIA'],['Single Fan'],['1290 MHz'],,,['1 x Native DVI-D'],"['April 13, 2017']",,['1 x Native DisplayPort 1.4'],,,['7008 MHz (DDR2)'],"['New NVIDIA Pascal architecture delivers improved performance and power efficiencyClassic and modern games at 1080p @ 60 FPSFast, smooth, power-efficient gaming experiencesPlug and play design requires no PCIe power connectors for easy graphics upgradePhoenix Double-ball Bearing Cooling Fan provides superior airflow with 2x longer lifespanAuto-Extreme Technology delivers premium quality and reliability with aerospace-grade Super Alloy Power II components to run faster and last longer than referenceGPU Tweak II makes monitoring performance and streaming easier than ever, featuring Game Booster and XSplit Gamecaster, all via an intuitive interface']",,['GeForce GTX 1050 Ti'],['NVIDIA GeForce GTX 10 Series'],['Yes'],['1 x Native HDMI 2.0'],['PCI Express 3.0'],,['192 mm'],['7680 x 4320'],['128-Bit'],['4GB'],['GDDR5'],['PH-GTX1050TI-4G'],,['OpenGL 4.5'],,,,,,['Phoenix'],['Dual Slot'],,['75W'],,0 reviews
['1455 MHz'],['MSI'],['768'],"['8.46"" x 4.41""']",['NVIDIA'],['Double Fans'],['1341 MHz'],,,['1 x DL-DVI-D'],"['September 09, 2019']",['DirectX 12'],['1 x DisplayPort 1.4'],['Yes'],,['7008 MHz'],"['All Solid Capacitors - 10 years long lifetime under full load. - Lower temperature and higher efficiency. - Aluminum core for higher stability.  Dual Fans Thermal Design - Dual fans covers more area of heatsink to take heat away more efficiently.  Afterburner Overclocking Utility - Wireless control through Android/iOS devices. - Predator: In-game video recording. - Kombustor: built-in DirectX12 benchmark.  NVIDIA G-SYNC - Synchronizes the display refresh to your GeForce GTX GPU for the fast, smooth gaming.']",['ATX'],['GeForce GTX 1050 Ti'],['NVIDIA GeForce GTX 10 Series'],['2.2'],['1 x HDMI 2.0'],['PCI Express 3.0 x16'],,['215 mm'],['7680 x 4320'],['128-Bit'],['4GB'],['GDDR5'],['GTX 1050 Ti 4GT OC'],['3'],['OpenGL 4.5'],,,,,,,['Dual Slot'],['Power Consumption: 75W Recommended PSU: 300W'],['75W'],['No'],0 reviews
['1455 MHz'],['MSI'],['768'],"['8.46"" x 4.41""']",['NVIDIA'],['Double Fans'],['1341 MHz'],,,['1 x DL-DVI-D'],"['September 09, 2019']",['DirectX 12'],['1 x DisplayPort 1.4'],['Yes'],,['7008 MHz'],,['ATX'],['GeForce GTX 1050 Ti'],['NVIDIA GeForce GTX 10 Series'],['2.2'],['1 x HDMI 2.0'],['PCI Express 3.0 x16'],,['215 mm'],['7680 x 4320'],['128-Bit'],['4GB'],['GDDR5'],['GTX 1050 Ti 4GT OC'],['3'],['OpenGL 4.5'],,,,,,,['Dual Slot'],['Power Consumption: 75W   Recommended PSU: 300W'],['75W'],['No'],0 reviews
['N/A'],['MSI'],['768'],,['NVIDIA'],['Double Fans'],['1341 MHz'],,,['1 x DVI'],"['September 09, 2019']",['DirectX 12'],['1 x DisplayPort 1.4'],,['None'],['7008 MHz'],"['All Solid Capacitors - 10 years long lifetime under full load. - Lower temperature and higher efficiency. - Aluminum core for higher stability.  Dual Fans Thermal Design - Dual fans covers more area of heatsink to take heat away more efficiently.  Afterburner Overclocking Utility - Wireless control through Android/iOS devices. - Predator: In-game video recording. - Kombustor: built-in DirectX12 benchmark.  NVIDIA G-SYNC - Synchronizes the display refresh to your GeForce GTX GPU for the fast, smooth gaming.']",,['GeForce GTX 1050 Ti'],['NVIDIA GeForce GTX 10 Series'],,['1 x HDMI 2.0'],['PCI Express 3.0 x16'],,,,['128-Bit'],['4GB'],['GDDR5'],['GTX 1050 Ti 4GT OC'],['3'],['OpenGL 4.5'],,['GTX 1050 Ti 4GT OC'],,,,['GTX 1050 Ti 4GT OC'],,['Power Consumption: 75W Recommended PSU: 300W'],['75W'],,0 reviews
['1430 MHz in OC Mode1392 MHz in Gaming'],['GIGABYTE'],['768'],"['6.77"" x 4.45""']",['NVIDIA'],['Single Fan'],['1316 MHz in OC Mode1290 MHz in Gaming'],,,['1 x Dual-Link DVI-D'],"['February 04, 2017']",['DirectX 12'],['1 x DisplayPort 1.4'],['Yes'],,['7008 MHz'],['Powered by GeForce GTX 1050 TiIntegrated with 4GB GDDR5 128-bit memory90mm Fan DesignSupport up to 8K display @60Hz'],,['GeForce GTX 1050 Ti'],['NVIDIA GeForce GTX 10 Series'],,['1 x HDMI 2.0b'],['PCI Express 3.0 x16'],,['172 mm'],['7680 x 4320'],['128-Bit'],['4GB'],['GDDR5'],['GV-N105TD5-4GD'],['3'],['OpenGL 4.5'],,,,,,,['Dual Slot'],['Recommended PSU: 300W'],['75W'],,0 reviews
,,,,,,,,,,"['August 17, 2019']",,,,,,,,['GeForce GTX 1050 Ti'],,,,,,,,,['4GB'],['GDDR5'],,,,,,,,,,,,['75W'],,192 (88% Positive)
,['ASUS'],,,,,,,,,"['September 12, 2020']",,,,,,,,['GeForce GTX 1050 Ti'],,,,,,,,,['4GB'],['GDDR5'],,,,,,,,,,,,['75W'],,192 (88% Positive)
['1569 MHz'],['EVGA'],['768'],"['5.70"" x 4.38""']",['NVIDIA'],['Single Fan'],['1455 MHz'],,,['1 x Dual-Link DVI-D'],"['August 27, 2019']",['DirectX 12'],['1 x DisplayPort 1.4'],['Yes'],,['7008 MHz'],"['NVIDIA GameStream TechnologyNVIDIA G-SYNC ReadyOpenGL 4.6 SupportSimultaneous Multi-ProjectionNVIDIA AnselNVIDIA GPU Boost 3.0Microsoft DirectX 12 APIVulkan APIPCI Express 3.0Max Digital Resolution - 7680 x 4320HDMI 2.0b, DisplayPort 1.4 and Dual-Link DVIBuilt for EVGA Precision XOC']",,['GeForce GTX 1050'],['NVIDIA GeForce GTX 10 Series'],['Yes'],['1 x HDMI 2.0b'],['PCI Express 3.0'],,['145 mm'],['7680 x 4320'],['96-Bit'],['3GB'],['GDDR5'],['03G-P4-6153-KR'],['3'],['OpenGL 4.6'],['Windows 10 32/64bitWindows 8 32/64bitWindows 7 32/64bit'],,,,,,['Dual Slot'],"['Minimum of a 300-Watt power supplyTotal Power Draw: 75 WattsPCI Express, PCI Express 2.0 or PCI Express 3.0 compliant motherboard with one graphics slot']",['75W'],,(10)
