Boost Clock ,Brand ,CUDA Cores ,Card Dimensions (L x H) ,Chipset Manufacturer ,Cooler ,Core Clock ,DVI ,Date First Available ,DirectX ,DisplayPort ,Dual-Link DVI Supported ,Edition ,Effective Memory Clock ,Features ,Form Factor ,GPU ,GPU Series ,HDCP Ready ,HDMI ,Interface ,Max GPU Length ,Max Resolution ,Memory Interface ,Memory Size ,Memory Type ,Model ,Multi-Monitor Support ,OpenGL ,Operating Systems Supported ,Option ,Package Contents ,Power Connector ,SLI Support ,Series ,Slot Width ,System Requirements ,Thermal Design Power ,Virtual Reality Ready ,review_numbers
['N/A'],['EVGA'],['1152'],"['10.50"" x 4.38""']",['NVIDIA'],['EVGA ACX 3.0 Cooling'],['1607 MHz'],['1 x Dual-Link DVI-D'],"['October 09, 2018']",['DirectX 12'],['3 x DisplayPort 1.4'],['Yes'],['None'],['8008 MHz'],"['NVIDIA GameStream TechnologyNVIDIA G-SYNC ReadyOpenGL 4.5 SupportSimultaneous Multi-ProjectionVR ReadyNVIDIA AnselNVIDIA GPU Boost 3.0Microsoft DirectX 12Vulkan APIPCI Express 3.0Max Digital Resolution - 7680 x 4320HDMI 2.0b, DisplayPort 1.4 and Dual-Link DVIBuilt for EVGA Precision XOCEVGA ACX 3.0 Cooling']",,['GeForce GTX 1060'],['NVIDIA GeForce GTX 10 Series'],,['1 x HDMI 2.0b'],['PCI Express 3.0'],['267 mm'],['7680 x 4320'],['192-Bit'],['3GB'],['GDDR5'],['03G-P4-6167-KR'],['4'],['OpenGL 4.5'],"['Windows 10 32/64bit, Windows 8 32/64bit, Windows 7 32/64bit']",['GTX 1060 SSC ACX3.0'],,['8-Pin'],,,['Dual Slot'],"['400W or greater power supply.PCI Express, PCI Express 2.0 or PCI Express 3.0 compliant motherboard with one graphics slot.']",['120W'],['Yes'],(25)
['1708 MHz'],['ASUS'],['1152'],"['7.20"" x 4.76""']",['NVIDIA'],['Single Fan'],['1506 MHz'],['1 x DVI-D'],"['May 21, 2020']",,['2 x DisplayPort 1.4'],,,['8008 MHz'],['Dual-ball Bearing Fan reduces spinning friction for 2X longer lifespan and cooling efficiency.Industry Only Auto-Extreme Technology with Super Alloy Power II delivers premium quality and best reliability.NVIDIA ANSEL for a revolutionary new way to capture in-game screenshots.GPU Tweak II with XSplit Gamecaster provides intuitive performance tweaking and real-time streaming.'],,['GeForce GTX 1060'],['NVIDIA GeForce GTX 10 Series'],['2.2'],['2 x HDMI 2.0b'],['PCI Express 3.0'],['183 mm'],['7680 x 4320'],['192-Bit'],['3GB'],['GDDR5'],['PH-GTX1060-3G'],['4'],['OpenGL 4.5'],,,['Accessories:1 x CD1 x Quick Guide'],['6-Pin'],['No'],['Phoenix'],['Dual Slot'],['Recommended PSU: 500W'],['120W'],['Yes'],(16)
['1860 MHz'],['EVGA'],['1152'],"['10.50"" x 4.38""']",['NVIDIA'],['Double Fans'],['1632 MHz'],['1 x Dual-Link DVI-D'],"['September 12, 2016']",['DirectX 12'],['3 x DisplayPort 1.4'],['Yes'],,['8008 MHz'],"['NVIDIA GameStream TechnologyNVIDIA G-SYNC ReadyOpenGL 4.5 SupportSimultaneous Multi-ProjectionVR ReadyNVIDIA AnselNVIDIA GPU Boost 3.0Microsoft DirectX 12Vulkan APIPCI Express 3.0Max Digital Resolution - 7680 x 4320HDMI 2.0b, DisplayPort 1.4 and Dual-Link DVIBuilt for EVGA Precision XOCEVGA ACX 3.0 Cooling']",,['GeForce GTX 1060 FTW+ Gaming'],['NVIDIA GeForce GTX 10 Series'],,['1 x HDMI 2.0b'],['PCI Express 3.0'],['267 mm'],['7680 x 4320'],['192-Bit'],['3GB'],['GDDR5'],['03G-P4-6367-KR'],['4'],['OpenGL 4.5'],"['Windows 10 32/64bit, Windows 8 32/64bit, Windows 7 32/64bit']",,,['8-Pin'],['No'],,['Dual Slot'],"['400W or greater power supply.PCI Express, PCI Express 2.0 or PCI Express 3.0 compliant motherboard with one graphics slot.']",['120W'],['Yes'],(5)
['1759 MHz'],['MSI'],['1280'],"['9.57"" x 4.53""']",['NVIDIA'],['Double Fans'],['1544 MHz'],['1 x DL-DVI-D'],"['June 13, 2019']",['DirectX 12'],['1 x DisplayPort 1.4'],['Yes'],,['8008 MHz'],"[""Military Class 4 Components- Certified to MIL-STD-810G standards for top stability and quality.- Built with Hi-c CAP and Solid CAP components.Dual Fans Thermal Design- Dual fans covers more area of heatsink to take heat away more efficiently.Afterburner Overclocking Utility- Wireless control through Android/iOS devices.- Predator: In-game video recording.- Kombustor: built-in DirectX 12 benchmark.GeForce GTX VR Ready- NVIDIA's unique set of features ensure you get the right level of performance, image quality, and latency to ensure your VR experience is nothing short of amazing.""]",['ATX'],['GeForce GTX 1060'],['NVIDIA GeForce GTX 10 Series'],['2.2'],['1 x HDMI 2.0'],['PCI Express 3.0 x16'],['243 mm'],,['192-Bit'],['6GB'],['GDDR5'],['GTX 1060 6GT OCV1'],['3'],['OpenGL 4.5'],,,,['6-Pin'],,,['Dual Slot'],['Power Consumption: 120WRecommended PSU: 400W'],['120W'],['Yes'],(38)
['1708 MHz'],['ASUS'],['1280'],"['10.50"" x 4.38""']",['NVIDIA'],['Single Fan'],['1506 MHz'],['1 x DVI-D'],"['September 09, 2019']",,['2 x DisplayPort 1.4'],,,['8008 MHz'],"['Dual-ball Bearing Fan runs smoother by reducing friction, further improving 4X longer card lifespan and cooling efficiency.Industry Only Auto-Extreme Technology with Super Alloy Power II delivers premium quality and best reliability.VR-friendly HDMI Ports for immersive virtual reality experiences.Customizable Backlit Logo gives your system a truly unique look with your own LED backlit logo design.GPU Tweak II with Xsplit Gamecaster provides intuitive performance tweaking and instant gameplay streaming.NVIDIA ANSEL for a revolutionary new way to capture in-game screenshots.NVIDIA GameWorks provides an interactive and cinematic experience, as well as incredibly smooth gameplay.']",,['GeForce GTX 1060'],['NVIDIA GeForce GTX 10 Series'],['2.2'],['2 x HDMI 2.0'],['PCI Express 3.0'],['267 mm'],['7680 x 4320'],['192-Bit'],['6GB'],['GDDR5'],['TURBO-GTX1060-6G'],,['OpenGL 4.5'],,,['Accessories:1 x CD1 x Quick Guide'],['6-Pin'],,['Turbo'],['Dual Slot'],,['120W'],['Yes'],(48)
['1759 MHz'],['MSI'],['1280'],"['7.40"" x 4.57""']",['NVIDIA'],['Single Fan'],['1544 MHz'],['1 x DL-DVI-D'],"['October 22, 2020']",['DirectX 12'],['1 x DisplayPort 1.4'],['Yes'],,['8008 MHz'],"[""Military Class 4 Components- Certified to MIL-STD-810G standards for top stability and quality.- Built with Hi-c CAP and Solid CAP components.Afterburner Overclocking Utility- Wireless control through Android/iOS devices.- Predator: In-game video recording.- Kombustor: built-in DirectX12 benchmark.NVIDIA G-SYNC- Synchronizes the display refresh to your GeForce GTX GPU for the fast, smooth gaming.GeForce GTX VR Ready- NVIDIA's unique set of features ensure you get the right level of performance, image quality, and latency to ensure your VR experience is nothing short of amazing.""]",['ATX'],['GeForce GTX 1060'],['NVIDIA GeForce GTX 10 Series'],['2.2'],['1 x HDMI 2.0'],['PCI Express 3.0 x16'],['188 mm'],,['192-Bit'],['6GB'],['GDDR5'],['GTX 1060 6G OCV1'],['3'],['OpenGL 4.5'],,,,['6-Pin'],,,['Dual Slot'],['Power consumption: 120WRecommended PSU: 400W'],['120W'],['Yes'],292 (90% Positive)
['N/A'],['GIGABYTE'],['1152'],"['10.94"" x 4.49""']",['NVIDIA'],['WINDFORCE 2X'],['1620 MHz (OC Mode)1594 MHz (Gaming Mode)'],['1 x Dual-Link DVI-D'],"['March 12, 2020']",['DirectX 12'],['3 x DisplayPort 1.4'],['Yes'],,['8008 MHz'],['Powered by GeForce GTX 1060Integrated with 3GB GDDR5 192-bit memoryWINDFORCE 2X with Blade Fan DesignSupport up to 8K display @60Hz16.8M Customizable Color RGB Lighting'],['ATX'],['GeForce GTX 1060'],['NVIDIA GeForce GTX 10 Series'],,['1 x HDMI 2.0b'],['PCI Express 3.0 x16'],['278 mm'],['7680 x 4320'],['192-Bit'],['3GB'],['GDDR5'],['GV-N1060G1 GAMING-3GD 2.0'],['4'],['OpenGL 4.5'],,['GV-N1060G1GAMING-3GD'],,['8-Pin'],,,['Dual Slot'],['System PSU Limitation: 400W'],['120W'],['Yes'],(19)
['N/A'],['GIGABYTE'],['1280'],"['6.65"" x 5.16""']",['NVIDIA'],['Single Fan'],['1556 MHz in OC Mode1531 MHz in Gaming Mode'],['2 x Dual-link DVI-D'],"['January 05, 2019']",['DirectX 12'],['1 x DisplayPort 1.4'],['Yes'],,['8008 MHz'],['Powered by GeForce GTX 1060Integrated with 6GB GDDR5 192-bit memory90mm cooler with 3D active fanOne-click Super Overclocking17cm Compact Card Size'],['ATX'],['GeForce GTX 1060'],['NVIDIA GeForce GTX 10 Series'],,['1 x HDMI 2.0b'],['PCI Express 3.0 x16'],['169 mm'],['7680 x 4320'],['192-Bit'],['6GB'],['GDDR5'],['GV-N1060IXOC-6GD'],['4'],['OpenGL 4.5'],,['GV-N1060IXOC-6GD'],,['6-Pin'],,,['Dual Slot'],['Recommended PSU: 400W'],['120W'],['Yes'],(26)
['1708 MHz'],['ZOTAC'],['1280'],"['6.85"" x 4.38""']",['NVIDIA'],['Single Fan'],['1506 MHz'],['DL-DVI-D'],"['August 07, 2019']",['DirectX 12'],['3 x DisplayPort 1.4'],['Yes'],,['8 GHz'],,,['GeForce GTX 1060'],['NVIDIA GeForce GTX 10 Series'],['Yes'],['1 x HDMI 2.0b'],['PCI Express 3.0'],['174 mm'],,['192-Bit'],['6GB'],['GDDR5'],['ZT-P10600A-10L'],['4'],['OpenGL 4.5'],['Windows 10 / 8 / 7'],,,['6-Pin'],,,['Dual Slot'],['Recommended Power Supply: 400W'],['120W'],,(8)
['1771 MHz'],['ZOTAC'],['1280'],"['8.27"" x 4.80""']",['NVIDIA'],['Dual Fan IceStorm'],['1556 MHz'],['1 x Dual-link DVI-D'],"['September 16, 2019']",['DirectX 12'],['3 x DisplayPort 1.4'],['Yes'],,['8 GHz'],['Dual 90mm IceStormFREEZE TechSimultaneous Multi-ProjectionVR ReadyNVIDIA AnselNVIDIA GPU BOOST 3.0NVIDIA G-SyncNVIDIA GameStream'],,['GeForce GTX 1060'],['NVIDIA GeForce GTX 10 Series'],['Yes'],['1 x HDMI 2.0b'],['PCI Express 3.0'],['210 mm'],['7680 x 4320'],['192-Bit'],['6GB'],['GDDR5'],['ZT-P10600B-10M'],['4'],['OpenGL 4.5'],['Microsoft Windows 10/8/7 x86/x64'],,['ZOTAC GeForce GTX 1060 AMP! EditionDual 4-pin to 6-pin cableUser Manual'],['6-Pin'],['No'],,['Dual Slot'],['Recommended Power Supply: 400W'],['120W'],['Yes'],(58)
['1708 MHz'],['PNY'],['1280'],"['9.92"" x 4.40""']",['NVIDIA'],['Double Fans'],['1506 MHz'],['1 x DL-DVI-D'],"['October 26, 2020']",['DirectX 12'],['3 x DisplayPort 1.4'],['Yes'],,['8 GBps'],['Simultaneous Multi-ProjectionVR ReadyNVIDIA Ansel SupportNVIDIA G-SYNCNVIDIA GameStreamNVIDIA GPU Boost 3.0Microsoft DirectX 12 SupportVulkan API SupportOpen GL 4.5 SupportPCI Express 3.0Max Digital Resolution - 7680 x 4320 @ 60HzDisplay Connectors- 3 x DisplayPort 1.4- HDMI 2.0b- DL-DVI'],,['GeForce GTX 1060'],['NVIDIA GeForce GTX 10 Series'],,['1 x HDMI 2.0b'],['PCI Express 3.0 x16'],['252 mm'],['7680 x 4320'],['192-Bit'],['6GB'],['GDDR5'],['VCGGTX10606PB'],['4'],['OpenGL 4.5'],,,,['6-Pin'],,,['Dual Slot'],"['Power and Thermal: 120WMinimum System Requirements:PCI Express-compliant motherboard with one dual-width x16 graphics slotOne 6-pin PCI Express supplementary power connectorsMinimum 400W or greater system power supply350MB of available hard-disk space4GB system memory (6GB or higher recommended)Windows 7-10, Linux, FreeBSDx86Internet connection']",['120W'],['Yes'],237 (95% Positive)
['1759 MHz'],['PNY'],,"['9.92"" x 4.37""']",['NVIDIA'],['Double Fans'],['1544 MHz'],['1 x DVI-D'],"['June 04, 2019']",['DirectX 12'],['3 x DisplayPort 1.4'],,,['8008 MHz'],,,['GeForce GTX 1060'],['NVIDIA GeForce GTX 10 Series'],,['1 x HDMI 2.0b'],['PCI Express 3.0 x16'],['252 mm'],,['192-Bit'],['6GB'],['GDDR5'],['VCGGTX10606XGPB-OC2'],['4'],['OpenGL 4.5'],,,,['6-Pin'],,,['Dual Slot'],,['120W'],,"1,139 (70% Positive)"
['1759 MHz'],['MSI'],['1280'],"['7.40"" x 4.57""']",['NVIDIA'],['Single Fan'],['1544 MHz'],['1 x DL-DVI-D'],"['August 08, 2019']",['DirectX 12'],['1 x DisplayPort 1.4'],['Yes'],,['8008 MHz'],"[""Military Class 4 Components - Certified to MIL-STD-810G standards for top stability and quality. - Built with Hi-c CAP and Solid CAP components.  Afterburner Overclocking Utility - Wireless control through Android/iOS devices. - Predator: In-game video recording. - Kombustor: built-in DirectX12 benchmark.  NVIDIA G-SYNC - Synchronizes the display refresh to your GeForce GTX GPU for the fast, smooth gaming.  GeForce GTX VR Ready - NVIDIA's unique set of features ensure you get the right level of performance, image quality, and latency to ensure your VR experience is nothing short of amazing.""]",['ATX'],['GeForce GTX 1060'],['NVIDIA GeForce GTX 10 Series'],['2.2'],['1 x HDMI 2.0'],['PCI Express 3.0 x16'],['188 mm'],,['192-Bit'],['6GB'],['GDDR5'],['GTX 1060 6G OCV1'],['3'],['OpenGL 4.5'],,,,['6-Pin'],,,['Dual Slot'],['Power consumption: 120W Recommended PSU: 400W'],['120W'],['Yes'],0 reviews
,['MSI'],,,['NVIDIA'],['Single Fan'],,,"['September 20, 2019']",,,,,,,,['GeForce GTX 1060'],['NVIDIA GeForce GTX 10 Series'],,,,,,,['6GB'],,,,,,,,,,,,,['120W'],,0 reviews
['1771 MHz'],['ZOTAC'],['1280'],"['8.27"" x 4.80""']",['NVIDIA'],['Double Fans'],['1556 MHz'],['1 x Dual-link DVI-D'],"['March 18, 2019']",['DirectX 12'],['3 x DisplayPort 1.4'],['Yes'],,['8 GHz'],['Dual 90mm IceStorm  FREEZE Tech  Simultaneous Multi-Projection  VR Ready  NVIDIA Ansel  NVIDIA GPU BOOST 3.0  NVIDIA G-Sync  NVIDIA GameStream'],,['GeForce GTX 1060'],['NVIDIA GeForce GTX 10 Series'],['Yes'],['1 x HDMI 2.0b'],['PCI Express 3.0'],['210 mm'],['7680 x 4320'],['192-Bit'],['6GB'],['GDDR5'],['ZT-P10600B-10M'],['4'],['OpenGL 4.5'],['Microsoft Windows 10/8/7 x86/x64'],['ZT-P10600B-10M'],['ZOTAC GeForce GTX 1060 AMP Edition Dual 4-pin to 6-pin cable User Manual'],['6-Pin'],['No'],,['Dual Slot'],['Recommended Power Supply: 400W Power Consumption: 120W'],['120W'],['Yes'],0 reviews
