Boost Clock ,Brand ,CUDA Cores ,Card Dimensions (L x H) ,Chipset Manufacturer ,Cooler ,Core Clock ,CrossFireX Support ,D-SUB ,DVI ,Date First Available ,DirectX ,DisplayPort ,Dual-Link DVI Supported ,Edition ,Effective Memory Clock ,Features ,Form Factor ,GPU ,GPU Series ,HDCP Ready ,HDMI ,Interface ,Low Profile Bracket Included ,Max GPU Length ,Max Resolution ,Memory Interface ,Memory Size ,Memory Type ,Model ,Multi-Monitor Support ,OpenGL ,Operating Systems Supported ,Option ,Package Contents ,Power Connector ,SLI Support ,Series ,Slot Width ,System Requirements ,Thermal Design Power ,Virtual Reality Ready ,review_numbers
['OC mode: 1506 MHzGaming mode: 1493 MHz'],['ASUS'],['768'],"['9.49"" x 5.08""']",['NVIDIA'],['Double Fans'],['OC mode: 1392 MHzGaming mode: 1379 MHz'],,,['2 x Native DVI-D'],"['April 03, 2019']",,['1 x Native DisplayPort 1.4'],,,['7008 MHz'],"['ASUS GeForce GTX 1050Ti 4GB ROG STRIX OC Edition HDMI 2.0 DP 1.4 Gaming Graphics CardNew NVIDIA Pascal architecture delivers improved performance and power efficiencyClassic and modern games at 1080p @ 60 FPSFast, smooth, power-efficient gaming experiencesAura SYNC RGB lighting on the shroud delivers unique styling and personalization with six lighting effects across millions of colorsDirectCU II with Unique Wing-Blade 0db Fans deliver 30% cooler and 3X quieter performanceAuto-Extreme Technology delivers premium quality and reliability with aerospace-grade Super Alloy Power II components to run faster and last longer than referenceGPU Tweak II makes monitoring performance and streaming easier than ever, featuring Game Booster and XSplit Gamecaster, all via an intuitive interface']",,['GeForce GTX 1050 Ti'],['NVIDIA GeForce GTX 10 Series'],['Yes'],['1 x Native HDMI 2.0'],['PCI Express 3.0'],,['241 mm'],['7680 x 4320'],['128-Bit'],['4GB'],['GDDR5'],['STRIX-GTX1050TI-O4G-GAMING'],,['OpenGL 4.5'],,,['Accessories:2 x Orange Color Decals2 x ROG Cable Ties'],['6-Pin'],,['ROG'],['Dual Slot'],,['75W'],,(24)
['1417 MHz'],['ZOTAC'],['768'],"['5.70"" x 4.38""']",['NVIDIA'],['Single Fan'],['1303 MHz'],,,['1 x DL-DVI-D'],"['November 22, 2018']",['DirectX 12'],['1 x DisplayPort 1.4'],['Yes'],,['7 GHz'],"[""Everyone deserves great gaming. That's why we created the fast, powerful ZOTAC GeForce GTX 1050 Ti Mini. Now you can turn your PC into a true gaming rig, powered by NVIDIA Pascal--the most advanced GPU architecture ever created. It's loaded with innovative NVIDIA Game Ready technologies that let every gamer experience the latest titles in their full glory in super compact form.""]",,['GeForce GTX 1050 Ti'],['NVIDIA GeForce GTX 10 Series'],['Yes'],['1 x HDMI 2.0b'],['PCI Express 3.0'],,['145 mm'],['7680 x 4320'],['128-Bit'],['4GB'],['GDDR5'],['ZT-P10510A-10L'],['3'],['OpenGL 4.5'],['Windows 10 / 8 / 7'],,,,['No'],,['Dual Slot'],['Recommended Power Supply: 300WPower Consumption: 75W'],['75W'],,(68)
['1455 MHz'],['MSI'],['768'],"['6.97"" x 4.65""']",['NVIDIA'],['Single Fan'],['1341 MHz'],,,['1 x DL-DVI-D'],"['October 25, 2016']",['DirectX 12'],['1 x DisplayPort 1.4'],['Yes'],,['7008 MHz'],"['All Solid Capacitors- 10 years long lifetime under full load.- Lower temperature and higher efficiency.- Aluminum core for higher stability.Afterburner Overclocking Utility- Wireless control through Android/iOS devices.- Predator: In-game video recording.- Kombustor: built-in DirectX12 benchmark.NVIDIA G-SYNC- Synchronizes the display refresh to your GeForce GTX GPU for the fast, smooth gaming.']",,['GeForce GTX 1050 Ti'],['NVIDIA GeForce GTX 10 Series'],['2.2'],['1 x HDMI 2.0'],['PCI Express 3.0 x16'],,['177 mm'],['7680 x 4320'],['128-Bit'],['4GB'],['GDDR5'],['GTX 1050 Ti 4G OC'],['3'],['OpenGL 4.5'],,,,,,['131207'],['Dual Slot'],['Power Consumption: 75WRecommended PSU: 300W'],['75W'],['No'],(76)
,['ONDA'],['768'],,['NVIDIA'],['Single Fan'],['1392 MHz'],['No'],['0'],['1 x DVI'],"['June 24, 2020']",['DirectX 12'],,['Yes'],,['7008 MHz'],,['ATX'],['GeForce GTX 1050 Ti'],['NVIDIA GeForce GTX 10 Series'],,['1 x HDMI'],['PCI Express 3.0 x16'],,['195 mm'],['5120 x 3200'],['128-Bit'],['4GB'],['GDDR5'],['1050TI GAMING 4GD5'],['Yes'],['OpenGL 4.5'],,,,,['No'],['1050ti Gaming'],['Dual Slot'],['Recommended PSU: 350W'],['75W'],['No'],883 (79% Positive)
['1493 MHz (OC) 1468 MHz (Gaming) 1392 MHz (Silent)'],['MSI'],['768'],"['9.02"" x 5.16""']",['NVIDIA'],,['1379 MHz (OC) 1354 MHz (Gaming) 1290 MHz (Silent)'],,,['1 x DL-DVI-D'],"['January 22, 2019']",['DirectX 12'],['1 x DisplayPort 1.4'],['Yes'],,['7108 MHz (OC) 7008 MHz (Gaming / Silent)'],"['Ultimate GAMING: TWIN FROZR VI - Zero Frozr - Stopping the fan in low-load situations, keeping a noise-free environment - Airflow Control technology - Deflectors thrust air onto heat pipes for lower temperatures and better gaming  TORX 2.0 FAN: Supremely silent - Dispersion fan blade Steeper curved blade accelerating the airflow - Traditional fan blade Provides steady airflow to massive heat sink below  Gaming App - Instant Performance Gain Unlock extra performance or keep your card silent during light use in one click - LED control Full control on your GAMING LEDs to set the mood - Mobile APP Control your graphics card from your phone']",['ATX'],['GeForce GTX 1050 Ti'],['NVIDIA GeForce GTX 10 Series'],['2.2'],['1 x HDMI 2.0'],['PCI Express 3.0 x16'],,['229 mm'],['7680 x 4320'],['128-Bit'],['4GB'],['GDDR5'],['GTX 1050 Ti GAMING X 4G'],['3'],['OpenGL 4.5'],,,,['6-Pin'],,,['Dual Slot'],['Power Consumption: 75W Recommended PSU: 300W'],,['No'],0 reviews
['1392 MHz'],['MSI'],['768'],"['7.17"" x 2.72""']",['NVIDIA'],['Double Fans'],['1290 MHz'],,,['1 x DL-DVI-D'],"['January 22, 2019']",['DirectX 12'],['1 x DisplayPort 1.4'],['Yes'],,['7008 MHz'],"['All Solid Capacitors - 10 years long lifetime under full load. - Lower temperature and higher efficiency. - Aluminum core for higher stability.  Dual Fans Thermal Design - Dual fans covers more area of heatsink to take heat away more efficiently.  Low Profile Design - Low profile design saves more spaces. - User can build slim or smaller system easier.  Afterburner Overclocking Utility - Wireless control through Android/iOS devices. - Predator: In-game video recording. - Kombustor: built-in DirectX12 benchmark.  NVIDIA G-SYNC - Synchronizes the display refresh to your GeForce GTX GPU for the fast, smooth gaming.']",['Low Profile'],['GeForce GTX 1050 Ti'],['NVIDIA GeForce GTX 10 Series'],['2.2'],['1 x HDMI 2.0'],['PCI Express 3.0 x16'],,['182 mm'],['7680 x 4320'],['128-Bit'],['4GB'],['GDDR5'],['GTX 1050 TI 4GT LP'],['3'],['OpenGL 4.5'],,,,,,,['Dual Slot'],['Power consumption: 75W Recommended PSU: 300W'],,['No'],0 reviews
,['Geforce'],,,,,,,,,"['April 27, 2020']",,,,,,,,,,,,,,,,,['4GB'],,['GTX 1050 TI 4GT LP'],,,,,,,,,,,,,0 reviews
['1178 MHz'],['PNY'],['1664'],,['NVIDIA'],['Single Fan'],['1050 MHz'],,,['1 x DVI'],"['April 13, 2020']",['DirectX 12'],['3 x Mini DisplayPort'],['Yes'],,['7010 MHz'],,,['GeForce GTX 970'],['NVIDIA GeForce GTX 900 Series'],,['1 x HDMI'],['PCI Express 3.0 x16'],,,['4096 x 2160'],['256-Bit'],['4GB'],['GDDR5'],['VCGGTX9704XPB'],,['OpenGL 4.4'],"['Microsoft Windows 8, Windows 7, Windows Vista']",,,['2 x 6-Pin'],['SLI Ready'],,['Dual Slot'],['PCI Express compliant motherboard with one dual-width x16 graphics slot Minimum 500W or greater system power supply (with a minimum 12V current rating of 42A)3 300 MB of available hard-disk space 2GB system memory (4GB or higher recommended)'],['170W'],,29 (90% Positive)
,['GIGABYTE'],,,,,,,,,"['May 18, 2020']",,,,,,,,['GeForce GTX 1050 Ti'],,,,,,,,,['4GB'],,['GV-N105TD5-4GD'],,,,,,,,['NVIDIA GeForce GTX 10 Series'],,,,,0 reviews
['1178 MHz'],['EVGA'],['1664'],"['9.50"" x 4.38""']",['NVIDIA'],['ACX 2.0 cooling'],['1050 MHz'],,,['1 x DVI-I1 x DVI-D'],"['December 03, 2018']",['DirectX 12'],['1 x DisplayPort'],,,['7010 MHz'],"['NVIDIA Dynamic Super Resolution TechnologyNVIDIA MFAA TechnologyNVIDIA GameWorks TechnologyNVIDIA GameStream TechnologyNVIDIA G-SYNC ReadyMicrosoft DirectX 12NVIDIA GPU Boost 2.0NVIDIA Adaptive Vertical SyncNVIDIA Surround TechnologyNVIDIA SLI ReadyNVIDIA CUDA TechnologyOpenGL 4.4 SupportOpenCL SupportHDMI 2.0, DisplayPort 1.2 and Dual-link DVIPCI Express 3.0EVGA ACX 2.0 Cooling']",,['GeForce GTX 970'],['NVIDIA GeForce GTX 900 Series'],,['1 x HDMI'],['PCI Express 3.0 x16'],,,['Analog: 2048 x 1536Digital: 4096 x 2160'],['256-Bit'],['4GB'],['GDDR5'],['04G-P4-2972-KR'],['4'],['OpenGL 4.4'],['Windows 8 32/64bitWindows 7 32/64bitWindows Vista 32/64bit'],,,['2 x 6-Pin'],['SLI Ready'],,['Dual Slot'],['Minimum of a 500 Watt power supply.Two available 6-pin PCI-E power connectorsTotal Power Draw: 145 Watts'],['145W'],['Yes'],(45)
['1178 MHz'],['EVGA'],,"['10.10"" x 4.38""']",['NVIDIA'],['Double Fans'],['1050 MHz'],,,['1 x Dual-link DVI-I'],"['December 03, 2018']",['DirectX 12'],['3 x DisplayPort 1.2'],['Yes'],,['7010 MHz'],"['NVIDIA Dynamic Super Resolution TechnologyNVIDIA MFAA TechnologyNVIDIA GameWorks TechnologyNVIDIA GameStream TechnologyNVIDIA G-SYNC ReadyMicrosoft DirectX 12NVIDIA GPU Boost 2.0NVIDIA Adaptive Vertical SyncNVIDIA Surround TechnologyNVIDIA SLI ReadyNVIDIA CUDA TechnologyOpenGL 4.4 SupportOpenCL SupportHDMI 2.0, DisplayPort 1.2 and Dual-link DVIPCI Express 3.0EVGA ACX 2.0 CoolingQuick Switch Dual BIOS1.215v+ Voltage BoostdB InverterMemory MOSFET Cooling PlateOptimized Power TargetStraight Heat Pipes']",,['GeForce GTX 970'],['NVIDIA GeForce GTX 900 Series'],,['1 x HDMI 2.0'],['PCI Express 3.0 x16'],,,['4096 x 2160'],['256-Bit'],['4GB'],['GDDR5'],['04G-P4-3973-KR'],['4'],['OpenGL 4.4'],"['Windows 8 32/64bit, Windows 7 32/64bit, Windows Vista 32/64bit']",,,['6-Pin / 8-Pin'],['SLI Ready'],,['Dual Slot'],"['500 Watt or greater power supply.****PCI Express, PCI Express 2.0 or PCI Express 3.0 compliant motherboard with one graphics slot.****Minimum system power requirement based on a PC configured with an Intel Core i7 3.2GHz processor.']",['170W'],['Yes'],(37)
['1455 MHz'],['ZOTAC'],['640'],"['5.70"" x 4.38""']",['NVIDIA'],['Single Fan'],['1354 MHz'],,,['1 x DL-DVI'],"['May 05, 2019']",['DirectX 12'],['1 x DisplayPort 1.4'],['Yes'],,['7 GHz'],"[""Everyone deserves great gaming. That's why we created the fast, powerful ZOTAC GeForce GTX 1050 Mini. Now you can turn your PC into a true gaming rig, powered by NVIDIA Pascal--the most advanced GPU architecture ever created. It's loaded with innovative NVIDIA Game Ready technologies that let every gamer experience the latest titles in their full glory in super compact form.""]",,['GeForce GTX 1050'],['NVIDIA GeForce GTX 10 Series'],['Yes'],['1 x HDMI 2.0b'],['PCI Express 3.0'],,['144.78mm'],['7680 x 4320'],['128-Bit'],['2GB'],['GDDR5'],['ZT-P10500A-10L'],['3'],['OpenGL 4.5'],['Windows 10 / 8 / 7'],,,,['No'],,['Dual Slot'],['Recommended Power Supply: 300W'],['75W'],,167 (83% Positive)
['1569 MHz'],['EVGA'],['768'],"['5.70"" x 4.38""']",['NVIDIA'],['Single Fan'],['1455 MHz'],,,['1 x Dual-Link DVI-D'],"['August 27, 2019']",['DirectX 12'],['1 x DisplayPort 1.4'],['Yes'],,['7008 MHz'],"['NVIDIA GameStream TechnologyNVIDIA G-SYNC ReadyOpenGL 4.6 SupportSimultaneous Multi-ProjectionNVIDIA AnselNVIDIA GPU Boost 3.0Microsoft DirectX 12 APIVulkan APIPCI Express 3.0Max Digital Resolution - 7680 x 4320HDMI 2.0b, DisplayPort 1.4 and Dual-Link DVIBuilt for EVGA Precision XOC']",,['GeForce GTX 1050'],['NVIDIA GeForce GTX 10 Series'],['Yes'],['1 x HDMI 2.0b'],['PCI Express 3.0'],,['145 mm'],['7680 x 4320'],['96-Bit'],['3GB'],['GDDR5'],['03G-P4-6153-KR'],['3'],['OpenGL 4.6'],['Windows 10 32/64bitWindows 8 32/64bitWindows 7 32/64bit'],,,,,,['Dual Slot'],"['Minimum of a 300-Watt power supplyTotal Power Draw: 75 WattsPCI Express, PCI Express 2.0 or PCI Express 3.0 compliant motherboard with one graphics slot']",['75W'],,(10)
['1455 MHz'],['ASUS'],['768'],"['8.35"" x 4.49""']",['NVIDIA'],['Double Fans'],['1341 MHz'],,,['1 x DVI-D (Native)'],"['October 07, 2020']",['DirectX 12'],['1 x DisplayPort (Native)'],,,['7008 MHz'],"['New NVIDIA Pascal architecture delivers improved performance and power efficiency for fast, smooth gamingClassic and modern games at 1080p @ 60 FPSSupports the latest DirectX 12 and GeForce gaming featuresPlug and play design requires no PCIe power connectors for easy graphics upgradeDual-fan Cooling provides double the airflow with 3x quieter performanceAuto-Extreme Technology delivers premium quality and reliability with aerospace-grade Super Alloy Power II components to run faster and last longer than referenceGPU Tweak II makes monitoring performance and streaming easier than ever, featuring Game Booster and XSplit Gamecaster, all via an intuitive interface']",,['GeForce GTX 1050 Ti'],['NVIDIA GeForce GTX 10 Series'],['Yes'],['1 x HDMI 2.0 (Native)'],['PCI Express 3.0'],,['212 mm'],['7680 x 4320'],['128-Bit'],['4GB'],['GDDR5'],['DUAL-GTX1050TI-O4G'],,['OpenGL 4.5'],,,,,,,['Dual Slot'],,['75W'],,167 (83% Positive)
['N/A'],['ASUS'],['768'],"['8.00"" x 4.50""']",['NVIDIA'],['Double Fans'],['OC Mode: 1366 MHzGaming Mode (Default): 1341 MHz'],,,['1 x DVI-D'],"['March 12, 2019']",,['1 x DisplayPort 1.4'],,['Black'],['7008 MHz'],"[""Esports Gaming tested with major titles like League of Legends, Overwatch and PlayerUnknown's BattlegroundsStrong backplate support designed to reinforce circuit boardPlug and play design requires no PCIe power connectors for easy graphics upgradeAuto-extreme Manufacturing Technology delivers premium quality and reliability with aerospace-grade Super Alloy Power II components to run faster and last longer than referenceGPU Tweak II makes monitoring performance and streaming easier than ever, featuring Game Booster and XSplit Gamecaster, all via an intuitive interface""]",,['GeForce GTX 1050 Ti'],['NVIDIA GeForce GTX 10 Series'],['2.2'],['1 x HDMI 2.0b'],['PCI Express 3.0'],,['203 mm'],['7680 x 4320'],['128-Bit'],['4GB'],['GDDR5'],['CERBERUS-GTX1050TI-O4G'],,['OpenGL 4.5'],,['GTX 1050 Ti D5 4G'],['Accessories:1 x CD1 x Quick Guide'],,,['Cerberus'],['Dual Slot'],,['75W'],,16 (81% Positive)
['1178 MHz'],['EVGA'],['1664'],"['9.50"" x 4.38""']",['NVIDIA'],['Double Fans'],['1050 MHz'],,,"['2 x DVI (1 Single Link, 1 Dual Link)']","['September 11, 2018']",['DirectX 12'],['1 x DisplayPort'],['Yes'],,['7010 MHz'],,,['GeForce GTX 970'],['NVIDIA GeForce GTX 900 Series'],,['1 x HDMI'],['PCI Express 3.0'],,,['4096 x 2160'],['256-Bit'],['4GB'],['GDDR5'],['04G-P4-2976-KR'],,['OpenGL 4.4'],"['Windows 8 32/64bit, Windows 7 32/64bit, Windows Vista 32/64bit']",,,['2 x 6-Pin'],['SLI Ready'],,['Dual Slot'],"['500W or greater power supply. PCI Express, PCI Express 2.0 or PCI Express 3.0 compliant motherboard with one graphics slot.']",['170W'],['Yes'],0 reviews
,['EVGA'],,,['NVIDIA'],['Single Fan'],,,,['1 x DVI'],"['August 20, 2020']",,['1 x DisplayPort'],,,,,,['GeForce GTX 1050 Ti'],['NVIDIA GeForce GTX 10 Series'],,['1 x HDMI'],['PCI Express 3.0 x16'],['No'],,,,['4GB'],['GDDR5'],['GTX 1050 Ti'],,,,,,,,,,,['75W'],,0 reviews
,['EVGA'],,,,,,,,,"['June 02, 2020']",,,,,,,,,,,,,,,,,,,['04G-P4-6255-KR'],,,,,,,,,,,,,291 (90% Positive)
